# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1773201187.586235,0,0,0,0,0,0.6068965196609497,2.381502151489258
1,1773201188.5915897,3200,0,0,0.6232876777648926,2.3529152870178223,0.6068965196609497,2.381502151489258
2,1773201188.6036797,6400,-0.5874125957489014,2.3878321647644043,0.6232876777648926,2.3529152870178223,0.6068965196609497,2.381502151489258
3,1773201200.829955,9600,-0.8005555868148804,2.015596628189087,0.6232876777648926,2.3529152870178223,0.6068965196609497,2.381502151489258
4,1773201201.3938541,12800,-0.8005555868148804,2.015596628189087,0.6232876777648926,2.3529152870178223,0.7898428440093994,2.0997695922851562
5,1773201201.9962692,16000,-0.8005555868148804,2.015596628189087,0.7950875759124756,1.8862969875335693,0.7898428440093994,2.0997695922851562
6,1773201215.5591753,19200,-0.9026764631271362,1.905816912651062,0.7950875759124756,1.8862969875335693,0.7898428440093994,2.0997695922851562
7,1773201215.7225986,22400,-0.9026764631271362,1.905816912651062,0.7950875759124756,1.8862969875335693,0.9039203524589539,2.178068161010742
8,1773201216.6245646,25600,-0.9026764631271362,1.905816912651062,0.9162372350692749,1.9367470741271973,0.9039203524589539,2.178068161010742
9,1773201229.2812097,28800,-0.9943726062774658,1.3602770566940308,0.9162372350692749,1.9367470741271973,0.9039203524589539,2.178068161010742
10,1773201229.6628258,32000,-0.9943726062774658,1.3602770566940308,0.9162372350692749,1.9367470741271973,1.002345085144043,2.3869667053222656
11,1773201230.730577,35200,-0.9943726062774658,1.3602770566940308,1.0073533058166504,1.4320967197418213,1.002345085144043,2.3869667053222656
12,1773201243.235672,38400,-1.0582431554794312,0.3532447814941406,1.0073533058166504,1.4320967197418213,1.002345085144043,2.3869667053222656
13,1773201243.8248525,41600,-1.0582431554794312,0.3532447814941406,1.0073533058166504,1.4320967197418213,1.0613882541656494,1.8614000082015991
14,1773201244.7102926,44800,-1.0582431554794312,0.3532447814941406,1.0594711303710938,0.33208370208740234,1.0613882541656494,1.8614000082015991
15,1773201258.0783095,48000,-1.0944619178771973,0.7869134545326233,1.0594711303710938,0.33208370208740234,1.0613882541656494,1.8614000082015991
16,1773201258.2308307,51200,-1.0944619178771973,0.7869134545326233,1.0594711303710938,0.33208370208740234,1.1000458002090454,2.4207637310028076
17,1773201259.3230784,54400,-1.0944619178771973,0.7869134545326233,1.1038912534713745,0.8797944188117981,1.1000458002090454,2.4207637310028076
18,1773201271.6471715,57600,-1.1305007934570312,0.7344448566436768,1.1038912534713745,0.8797944188117981,1.1000458002090454,2.4207637310028076
19,1773201272.137855,60800,-1.1305007934570312,0.7344448566436768,1.1038912534713745,0.8797944188117981,1.1312403678894043,2.0724945068359375
20,1773201273.5923126,64000,-1.1305007934570312,0.7344448566436768,1.135725736618042,0.7990970611572266,1.1312403678894043,2.0724945068359375
21,1773201285.22071,67200,-1.152259349822998,0.7030503749847412,1.135725736618042,0.7990970611572266,1.1312403678894043,2.0724945068359375
22,1773201285.6915786,70400,-1.152259349822998,0.7030503749847412,1.135725736618042,0.7990970611572266,1.153296947479248,1.986812710762024
23,1773201287.5647547,73600,-1.152259349822998,0.7030503749847412,1.1562600135803223,0.34328120946884155,1.153296947479248,1.986812710762024
24,1773201299.4622235,76800,-1.1704837083816528,0.41493406891822815,1.1562600135803223,0.34328120946884155,1.153296947479248,1.986812710762024
25,1773201299.9618216,80000,-1.1704837083816528,0.41493406891822815,1.1562600135803223,0.34328120946884155,1.1712433099746704,2.0309462547302246
